"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"489",27053111500,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"490",27053122600,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"491",27053125500,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"492",27053125700,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"493",27053125900,NA,0.5,NA,1,NA,NA,NA,NA,3,NA,4.5,47.7933261571582
"494",27053126102,NA,4.5,NA,NA,NA,NA,NA,1,3,4,12.5,79.4402583423036
"495",27053126201,NA,0.5,NA,1,NA,NA,NA,2,6,8,17.5,87.4058127018299
"496",27053980000,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"497",27055020100,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"498",27055020200,NA,9.5,NA,4,NA,NA,NA,NA,NA,NA,13.5,82.2389666307858
"499",27055020300,NA,6,NA,3,NA,NA,NA,4,1,NA,14,82.8848223896663
"500",27055020500,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"501",27055020900,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"502",27057070300,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"503",27057070500,NA,2,NA,3,NA,0.1,6,4,3,NA,18,88.0516684607104
"504",27059130302,NA,1.5,NA,NA,NA,NA,NA,1,6,NA,8.5,68.1377825618945
"505",27059130303,NA,2,NA,NA,NA,NA,NA,0.5,0.6,NA,3.1,40.5812701829925
"506",27059130304,NA,9,NA,NA,NA,NA,NA,NA,0.3,NA,9.3,71.6899892357374
"507",27059130400,NA,0.5,NA,1,NA,NA,NA,2,6,NA,9.5,71.9052744886975
"508",27059130501,NA,6,NA,2,NA,NA,NA,4,NA,NA,12,78.0409041980624
"509",27059130600,NA,4.5,NA,3,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"510",27061480102,NA,3.5,NA,1,NA,NA,NA,2,1,NA,7.5,63.8320775026911
"511",27061480303,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"512",27061480402,NA,2.5,NA,2,NA,NA,NA,2,2,NA,8.5,68.1377825618945
"513",27061480500,NA,12.5,NA,2,NA,1,7,NA,NA,NA,21.5,90.8503767491927
"514",27061480600,NA,5,NA,NA,NA,NA,NA,NA,1,NA,6,55.1130247578041
"515",27061480801,NA,0,NA,3,NA,NA,6,NA,NA,NA,9,69.967707212056
"516",27061480804,NA,6.5,NA,1,NA,NA,NA,NA,1,NA,8.5,68.1377825618945
"517",27061481001,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"518",27061481002,NA,3,NA,NA,NA,NA,NA,NA,1,NA,4,43.4876210979548
"519",27061940000,NA,2.5,NA,1,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
