"","GEOID","enf_points","insp_points","hw_points","percentile_rank"
"1116",27091790501,1.5,NA,1.5,45.9027315123251
"1117",27171100706,16.5,NA,16.5,89.9400399733511
"1118",27121970400,8.5,2,10.5,82.0119920053298
"1119",27157490300,14,2,16,89.4736842105263
"1120",27085950302,1.5,1,2.5,55.0966022651566
"1121",27137003800,9.5,2,11.5,83.6775483011326
"1122",27137013900,2.5,2,4.5,66.3557628247835
"1123",27137013800,0.5,NA,0.5,35.8427714856762
"1124",27137002000,4.5,NA,4.5,66.3557628247835
"1125",27137003600,6,NA,6,71.9520319786809
"1126",27087940100,1,NA,1,40.7728181212525
"1127",27119020200,3,NA,3,58.2278481012658
"1128",27127750500,23,2,25,95.6029313790806
"1129",27163070207,13,NA,13,85.742838107928
"1130",27163071023,NA,NA,0,0
"1131",27163071022,NA,NA,0,0
"1132",27139080700,1.5,NA,1.5,45.9027315123251
"1133",27037060503,NA,NA,0,0
"1134",27037060102,NA,NA,0,0
"1135",27037060603,NA,NA,0,0
"1136",27037061003,57,3,60,99.6668887408394
"1137",27001790501,1.5,NA,1.5,45.9027315123251
